Year,Canada,European Union,France,Germany,Italy,Japan,United Kingdom,United States
1985,20.26725,55.27656,14.996572,67.06933,70.479706,61.200344,76.61001,72.60898
1986,18.071253,54.492016,10.863495,68.52473,70.37799,60.6853,77.83512,71.1562
1987,20.2374,53.601734,9.433366,66.72013,76.826965,60.377357,79.68038,71.9467
1988,22.337645,51.488316,8.440215,64.66336,76.64484,61.982502,76.59515,71.66205
1989,25.04474,53.563267,11.636902,64.678246,80.21732,62.299343,74.4883,71.85483
1990,22.543388,53.036804,11.378714,68.36019,83.62656,65.76887,77.645035,69.969406
1991,21.941444,52.54644,13.449838,69.364944,79.1558,64.2336,76.529976,69.145935
1992,22.896233,51.518105,11.006673,66.55301,79.44585,65.25783,74.109146,70.01856
1993,20.687353,50.20937,7.394193,66.62314,79.421135,60.614235,70.576584,70.451485
1994,20.279364,50.566196,7.1208014,66.58094,78.907104,64.71184,70.829254,70.579285
1995,21.13094,50.851463,7.8707013,66.270355,82.5336,61.17839,71.6555,69.14324
1996,20.234531,50.808247,8.536993,65.968666,80.6926,61.039413,71.39681,68.859795
1997,23.024193,50.13434,7.81879,64.6064,81.261665,58.467743,69.96321,70.31706
1998,26.561882,50.571198,10.772242,66.04158,81.67626,58.01243,70.18555,71.029976
1999,25.76799,50.336014,9.929938,63.82289,80.20444,60.190212,71.54693,70.1986
2000,27.420424,51.687344,9.307872,63.9652,81.15507,61.79308,74.81303,70.94185
2001,28.933578,50.897587,8.37265,63.86845,80.01103,61.329098,74.10661,71.86129
2002,27.516298,52.524868,9.395182,64.14108,82.59287,62.568108,74.4422,70.959076
2003,28.495419,53.40581,10.121081,64.83065,83.630844,68.679016,75.04331,71.23476
2004,26.664995,52.272514,9.825181,63.083992,81.65878,64.47525,76.101746,71.31366
2005,25.203867,52.865616,11.004322,63.07431,83.56243,65.671646,75.260445,71.870316
2006,24.132605,52.88308,9.906575,61.943825,83.42986,64.034874,76.45178,71.129295
2007,25.498669,53.57773,10.289406,63.56045,84.41389,67.73437,79.15627,72.13493
2008,23.690386,51.842392,9.735793,61.590412,81.333244,70.11743,80.86436,71.19145
2009,22.811018,50.292347,9.63942,60.70991,75.81367,66.6137,74.96019,69.176
2010,24.105892,48.83176,10.164308,60.59499,74.05185,64.48219,76.88321,70.06641
2011,23.287949,48.987907,10.399704,61.586777,72.19895,74.96559,71.68791,68.20784
2012,21.832092,46.93272,10.028542,60.817024,68.76545,88.31671,69.31596,68.77622
2013,20.968752,44.061596,9.300551,60.418617,60.8419,87.575386,65.44044,67.71386
2014,21.316448,41.580288,6.315008,58.131718,56.35917,87.40026,62.062237,67.187584
2015,20.865856,42.773373,7.81035,56.20414,61.069,84.60956,54.643375,66.854225
2016,20.306814,43.30623,10.128848,57.326347,62.22766,83.6296,54.37821,65.00112
2017,19.14398,44.10148,11.759103,54.690746,64.4322,81.20856,49.96452,62.684494
2018,19.316412,41.447918,8.591322,52.721893,60.004894,78.265816,47.383762,63.34091
2019,19.282654,39.323025,9.48509,47.301235,60.057247,76.02409,45.728485,62.240826
2020,18.322212,36.680763,9.174539,44.26643,57.768867,76.110374,40.779438,60.148197
2021,18.895433,37.092434,8.868974,47.8483,59.252514,72.81482,45.5435,60.48675
2022,18.57197,39.209873,12.894428,49.576187,64.191315,73.03468,43.981724,59.65182
2023,19.861395,,8.422322,45.856693,56.279995,68.52917,39.916183,59.079563
